image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.884367,truck,bus,False
drive_022,2,1,0.809644,car,car,True
drive_022,3,3,0.832497,car,car,True
drive_022,4,4,0.856361,car,car,True
drive_022,5,2,0.908644,bus,van,False
drive_033,2,1,0.981888,bus,van,False
drive_033,3,12,0.934582,bus,van,False
drive_033,4,2,0.880221,truck,bus,False
drive_033,5,3,0.885761,car,car,True
drive_033,6,4,0.801337,car,car,True
drive_033,7,9,0.849237,car,car,True
drive_033,8,7,0.903799,car,car,True
drive_033,9,5,0.900833,car,car,True
drive_033,10,8,0.888375,car,car,True
drive_033,11,10,0.785148,car,car,True
drive_033,21,6,0.848421,car,car,True
drive_038,2,7,0.538834,car,car,True
drive_038,3,6,0.902888,car,car,True
drive_038,4,15,0.908564,van,truck,False
drive_038,6,9,0.928011,truck,bus,False
drive_038,7,5,0.952894,truck,bus,False
drive_038,11,14,0.810717,car,car,True
drive_038,12,1,0.927318,car,car,True
drive_038,13,4,0.969804,car,car,True
drive_038,14,2,0.945014,car,car,True
drive_038,15,3,0.946586,car,car,True
drive_038,16,13,0.919807,car,car,True
drive_038,17,17,0.907596,car,car,True
drive_038,20,8,0.898878,car,car,True
drive_038,21,12,0.898452,car,car,True
drive_038,22,16,0.8232,car,car,True
drive_038,23,10,0.876017,car,car,True
drive_038,24,11,0.92901,car,car,True
drive_008,1,11,0.921849,car,car,True
drive_008,2,6,0.87904,car,car,True
drive_008,3,4,0.871382,car,car,True
drive_008,6,15,0.163923,car,car,True
drive_008,10,14,0.897739,car,car,True
drive_008,11,7,0.759162,car,car,True
drive_008,13,13,0.683124,bus,car,False
drive_008,16,2,0.87033,car,car,True
drive_008,21,9,0.9751,bus,van,False
drive_008,22,1,0.849262,truck,bus,False
drive_008,23,12,0.888215,van,truck,False
drive_008,24,3,0.872063,van,truck,False
drive_008,25,16,0.943948,car,car,True
drive_008,28,5,0.859085,van,truck,False
